# Число судьбы (по дате рождения целиком).
# Формат:  Число | Заголовок | Текст

1 | Число самостоятельных решений | Вам легче начать самой, чем ждать разрешения. Лучшие периоды — когда вы ведёте, а не догоняете.
2 | Число союзов | Вы сильны в паре и в диалоге. Решения даются легче, когда есть с кем их проговорить.
3 | Число выражения | Вам нужно высказываться — словами, делом, творчеством. Молчание копится и давит.
4 | Число опоры | Вы строите надёжно и не любите спешки. Ваша устойчивость — то, за чем к вам приходят.
5 | Число перемен | Вам тесно в рамках, и это не каприз. Свобода выбора для вас — рабочее условие, а не роскошь.
6 | Число заботы | Вы держите на себе близких. Главная задача — не забыть внести себя в этот список.
7 | Число глубины | Вам нужно время наедине, чтобы понять себя. Одиночество для вас — не изоляция, а ремонт.
8 | Число результата | Вы умеете доводить до денег и до дела. Риск — измерять себя только достижениями.
9 | Число завершения | Вы хорошо закрываете циклы и отпускаете. Труднее — начинать заново без старого груза.
11 | Мастер-число чуткости | Вы улавливаете больше, чем проговаривают вслух. Это дар и нагрузка одновременно.
22 | Мастер-число замысла | Вы мыслите крупно и умеете превращать замысел в конструкцию. Нужен только срок и опора.
