# Лунные дни: номер | название | рекомендация на день.
# Показывается в «Что вокруг → Лунный день», уходит в утреннее напоминание и на открытку.
# Строки с # приложение не читает. Порядок — по номеру дня, 1…30.

1 | День замысла | Загадайте, а не начинайте: сегодня хорошо обдумывать планы и представлять результат. Действия лучше отложить на завтра.
2 | День начала | Подходит для первого шага в новом деле и для щедрости. Не бросайтесь в крайности — ни в еде, ни в спорах.
3 | День напора | Энергии много, и она ищет выход. Направьте её в дело или движение, а не в выяснение отношений.
4 | День выбора | Взвешивайте, а не решайте сгоряча. Полезно побыть в тишине и не обещать лишнего.
5 | День верности себе | Прислушайтесь к тому, чего вы хотите на самом деле. Хороший день для честных разговоров и еды по аппетиту.
6 | День слова | Мысли и слова сегодня весят больше обычного. Говорите важное и не спорьте ради спора.
7 | День ветра | Слова обретают силу: не желайте зла и не давайте пустых обещаний. Хорошо просить, договариваться, благодарить.
8 | День огня | Хорошо разбирать завалы — в делах и в голове. Тёплая еда, свеча, тёплый разговор помогают.
9 | День тени | Непростой день: тревоги громче. Не начинайте важного, не ссорьтесь, простите то, что можно простить.
10 | День рода | Позвоните родным или вспомните тех, кто был до вас. Хорош для дома и семейных дел.
11 | День силы | Самый сильный день месяца: можно браться за трудное. Только не распыляйтесь — одна цель.
12 | День сердца | Доброта и покой. Хорошо просить и прощать, дарить и принимать. Тяжёлую работу лучше отложить.
13 | День колеса | Возвращается незакрытое: долги, обещания, старые темы. Закройте хотя бы одну из них.
14 | День трубы | Хороший день для старта и движения. То, что начнёте сегодня, пойдёт быстрее.
15 | День испытания | Соблазны и раздражение сильнее обычного. Не поддавайтесь на провокации, берегите слово.
16 | День равновесия | Тихий день: ищите меру во всём. Подходит для примирений и спокойных дел.
17 | День радости | Разрешите себе удовольствие: встречу, танец, вкусное. Отношения сегодня в фокусе.
18 | День зеркала | Всё вокруг отражает вас. Если что-то раздражает, посмотрите, о чём это в вас самой.
19 | День паутины | Не плетите интриг и не поддавайтесь чужим. Хорошо расчищать: дом, список дел, телефон.
20 | День орла | Взгляд сверху: хорошо принимать взрослые решения и видеть целое. Не мельчите.
21 | День коня | Смелость и движение. Хорош для дороги, спорта и честных поступков.
22 | День знания | Учитесь, читайте, слушайте тех, кто опытнее. Щедрость сегодня возвращается.
23 | День крокодила | Берегите силы, не мстите и не переусердствуйте. Тихий вечер лучше большой компании.
24 | День медведя | Сила просыпается — направьте её в тело и в дело. Не давите на других.
25 | День черепахи | Не спешите. Хорош для уединения, отдыха и медленных дел.
26 | День жабы | Не хвастайтесь и не тратьте лишнего. Экономьте силы и слова.
27 | День трезубца | Интуиция обострена. Хорошо для отдыха, воды и мягких решений.
28 | День лотоса | Светлый день: хорош для дома, покупок и добрых дел. Всё, что сделано с любовью, приживается.
29 | День гидры | Самый тёмный день месяца: не начинайте, не спорьте, не поддавайтесь унынию. Проведите его тихо.
30 | День лебедя | Итог месяца: простите, поблагодарите, отпустите. Завтра — новое начало.
