# Черта знака. Подставляется в прогноз дня: «Овен · вам легче начать...»
# Формат:  Знак | Черта (с маленькой буквы, продолжает фразу)
# Порядок знаков и даты менять нельзя — они связаны с расчётом.

Козерог | вы держите нагрузку дольше других и потому позже замечаете усталость
Водолей | вам нужнее воздуха свобода решать самой, без чужих сценариев
Рыбы | вы считываете настроение вокруг раньше, чем понимаете своё
Овен | вам легче начать, чем ждать, и это ваша сила, а не недостаток
Телец | вы цените устойчивость и не любите решать наспех
Близнецы | вам нужен разговор, чтобы понять, что вы думаете на самом деле
Рак | вы бережёте своих и часто ставите себя в этой очереди последней
Лев | вам важно, чтобы вклад видели, — и это честная потребность
Дева | вы замечаете детали, которых не видят другие, и от этого устаёте
Весы | вы ищете равновесие и потому дольше выбираете
Скорпион | вы чувствуете глубже, чем показываете
Стрелец | вам тесно там, где не видно горизонта
