# Карты дня. Одна карта — одна строка.
# Формат:  Название | О чём эта карта | Что сделать сегодня
# Строки, начинающиеся с #, приложение не читает — это заметки для вас.

0 · Шут | Начало без гарантий: вы знаете меньше, чем хотелось бы, и это нормально. | Разрешите себе сделать шаг, не просчитав всё до конца.
I · Маг | У вас на руках больше инструментов, чем кажется. | Возьмитесь за то, что давно откладывали как «сложное».
II · Верховная Жрица | Ответ уже есть внутри, его заглушает шум. | Пять минут тишины до телефона — и отложите один несрочный ответ.
III · Императрица | День про заботу и рост, а не про подвиги. | Сделайте что-то приятное телу: еда, прогулка, сон.
IV · Император | Опора на структуру: правила сегодня помогают, а не мешают. | Наведите порядок в одном конкретном месте — в делах или дома.
V · Иерофант | Стоит опереться на чужой опыт вместо изобретения велосипеда. | Спросите совета у того, кто уже проходил это.
VI · Влюблённые | Выбор, который нельзя сделать наполовину. | Назовите вслух, чего вы хотите на самом деле.
VII · Колесница | Движение есть, но нужна одна ясная цель, а не пять. | Выберите главное дело дня и защитите его от остального.
VIII · Сила | Побеждает мягкость и терпение, а не напор. | Там, где хочется надавить, — сделайте паузу.
IX · Отшельник | День для уединения и честного разговора с собой. | Отмените одну необязательную встречу.
X · Колесо Фортуны | Цикл меняется, и не всё зависит от вас. | Не удерживайте то, что уходит само.
XI · Справедливость | Всё возвращается по факту, а не по намерению. | Проверьте, где вы обещали больше, чем можете.
XII · Повешенный | Пауза не поражение: пока рано действовать. | Посмотрите на ситуацию с чужой позиции.
XIII · Смерть | Что-то завершилось, и это освобождает место. | Признайте окончание вслух — станет легче.
XIV · Умеренность | Ваш темп важнее чужого. | Возьмите нагрузку, которую сможете держать месяц.
XV · Дьявол | Есть привязанность, которая держит крепче, чем нужно. | Назовите, от чего вам трудно отказаться, — без осуждения себя.
XVI · Башня | Резкая ясность: рушится то, что и так стояло криво. | Не чините наспех — сначала осмотритесь.
XVII · Звезда | Спокойный, ясный этап после напряжения. | Позвольте себе надеяться и не торопите события.
XVIII · Луна | Много тумана: страх выдаёт себя за интуицию. | Отложите важное решение до завтра.
XIX · Солнце | Простая радость и ясность без подвоха. | Разрешите себе принять хорошее, не ища подвоха.
XX · Суд | Пора подвести итог и что-то назвать своим именем. | Вернитесь к отложенному разговору.
XXI · Мир | Круг замкнулся: этап завершён по-настоящему. | Отметьте то, что сделали, прежде чем брать новое.
