# Настроение дня. Сочетается со знаком: 12 знаков × эти тона.
# Формат:  Заголовок | Текст | работа,любовь,здоровье,деньги
# Последние четыре числа (0–100) рисуют полоски на экране.

Ровный день | Хорошо идут дела, начатые раньше. Новое лучше наметить, но не запускать. | 75,60,70,55
День разговоров | Слова сегодня весят больше обычного: важный разговор пройдёт легче, чем вы ждёте. | 70,80,60,50
День на восстановление | Тело просит паузы. Всё, что можно перенести, — переносите без вины. | 45,60,85,40
День решений | Ясность выше обычного — подходит для выбора, который вы откладывали. | 85,55,60,70
День деталей | Мелочи сегодня решают: проверьте то, что обычно проскакивает. | 80,50,65,75
Тихий день | Незаметный, но полезный: хорошо закрывать хвосты и наводить порядок. | 60,55,75,60
День начала | Хороший день, чтобы сделать первый шаг в том, что давно откладывали. | 80,65,65,60
День близких | Внимание тянется к людям. Позвоните тому, о ком думали на этой неделе. | 50,85,65,45
День границ | Сегодня легко перепутать помощь и свою жизнь. Отказ — тоже забота о себе. | 65,50,70,55
День про деньги | Хорошо считать и договариваться о цене. Тратить импульсивно — плохая идея. | 75,45,55,85
День наблюдения | Не время действовать: смотрите, что происходит. Многое прояснится само. | 55,60,70,50
День выдоха | Напряжение отпускает. Разрешите себе не догонять и не доказывать. | 50,70,80,45
