# Руны. Рисунок руны живёт в коде и привязан к порядку строк —
# менять можно название, ключевое слово и текст, но не порядок.
# Формат:  Название | Ключевое слово | Текст ответа

Феху | ресурс | У вас больше ресурсов, чем кажется. Опирайтесь на то, что уже есть.
Уруз | сила | Сил хватит — вопрос в темпе. Возьмите нагрузку, которую удержите месяц.
Ансуз | весть | Ответ придёт через слова: разговор, письмо, случайную фразу. Слушайте.
Райдо | путь | Это не точка, а дорога: решение уточнится в движении. Сделайте первый шаг.
Кеназ | ясность | Скоро станет светлее. Не решайте в темноте — ясность близко.
Гебо | обмен | Здесь всё на взаимности: не тяните в одиночку и не ждите молча.
Вуньо | радость | Хороший знак: радости тут больше, чем тревоги. Позвольте себе её.
Альгиз | защита | Вы защищённее, чем чувствуете. Держитесь своих границ — они и есть опора.
Наутиз | нужда | Есть ограничение, которое придётся признать. Через него — короче, чем в обход.
Иса | пауза | Сейчас ничего не двигается — и не должно. Подождите, лёд сойдёт сам.
Йера | урожай | Собираете посеянное раньше. Результат придёт в свой срок, не раньше.
Беркана | рост | Начинается тихий рост. Не дёргайте росток, чтобы проверить корни.
Турисаз | преграда | Впереди то, что придётся выдержать. Не лезьте напролом — обойдите или переждите.
Хагалаз | слом | Ломается то, что и так держалось на честном слове. Освободите место новому.
Эйваз | стойкость | Держитесь: этот отрезок проходят выдержкой, а не рывком. Вы крепче, чем думаете.
Перт | тайна | Что-то ещё скрыто от вас. Не решайте окончательно — картина не полная.
Соулу | победа | Энергия на вашей стороне. Действуйте, пока идёт эта волна.
Тейваз | решимость | Нужен прямой выбор и честность — прежде всего с собой. Назовите вещи именами.
Эваз | движение | Перемена уже началась, и она к лучшему. Не тормозите её сомнением.
Манназ | человек | Ответ придёт через людей. Спросите того, чьё мнение цените.
Лагуз | поток | Доверьтесь течению: сейчас чутьё точнее расчёта.
Ингуз | завершение | Цикл закрывается. Доведите начатое — и отпустите.
Одал | своё | Речь о вашем: о доме, роде, о том, что принадлежит только вам. Берегите это.
Дагаз | рассвет | Перелом близко — и он светлый. Худшее позади, даже если ещё не видно.
